latitude|longitude|address|uuid|alias
-32.1268339|133.6727303|32 O'Loughlin Terrace,Ceduna, SA, 5690,AU|e9b58062-ef92-4271-84e1-1a447f6bff5f|daycare-getup
-32.1301939|133.6732105|20 O'LOUGHLIN TCE, CEDUNASA|a77f8ceb-9e1a-45c1-a1a1-c28d3ac960be|arming-faculty
-32.79549|134.21185|34 ALFRED TCE, STREAKY BAY, SA, 5680, AU|264033a9-ff36-4324-a4b1-0f96bd35380d|mandate-confront
-13.047103|131.031194|22 TARKARRI OS POST OFFICE BATCHELOR|df8a43d0-29b8-46c4-99c1-e866979e2a4f|flirt-power
-22.380514|143.042766|0 MANUKA NR CHIRNSIDE ST WINTON|bbf60313-981e-4ebb-999a-e0529a6661e7|enable-blaspheme
-22.385509|143.046192|59 LANDSBOROUGH HWY NR ALLEN ST, WINTON|17f666cb-594e-4789-8a30-b48a6e49427e|series-haunt
-31.52954|138.60287|WILPENA POUND MOTEL, HAWKER-WILPENA RD, FLINDERS RANGES, SA, 5434, AU|d935e38d-b582-43a1-a816-7b5e699c73ae|upchuck-diabetic
-31.88721|138.42132|70 Elder Terrace, Hawker, South Australia, 5434, AU|485c2a26-e8e1-4b67-9a42-ea152220b8a5|uncle-blatancy
-17.95915|122.24037|1 BARKER ST, BROOME, WA 6725|068fd260-5cc6-48c6-8413-c20626d73297|moneyless-unlocking
-17.95313|122.24346|17 Carnarvon St Broome|044002b7-737c-4642-86ac-c667446446d8|vascular-discount
-17.955346|122.241958|19 Napier Tce Broome |6ca758aa-0974-43cf-a988-5f3636222a85|hedge-passably
-17.95525|122.24091|2 HAMERSLEY ST DJUGUN WA 6725 AU|1168e500-d947-4ee6-9651-09808da97074|shrimp-armored
-17.96674|122.231394|27 SAVILLE CNR FOREST ST BROOME|f59c2b3a-1d62-43aa-96f7-93410773b48b|rut-glimmer
-12.52142|131.04161|445 STUART HWY COOLALINGA NT 839 AU|35352e6b-b82e-4bb0-a580-4d2dfb3998d4|autograph-strenuous
-12.50014|131.00552|3 TARAKAN CT JOHNSTON JOHNSTON NT 0832 AU|7e368fd6-91ee-4e8a-98ec-875c6100d476|mayflower-employee
-12.500888|130.978252|32 BALDWIN DRV O/S SHOPS, WOODROFFE|5a5a6928-130d-46f1-8c36-754a17b1eaed|extras-probe
-12.48134|130.98559|0 PALMERSTON ADJ POST OFFICE|8fc95ee3-61ec-4d59-8184-8da348e8a865|confider-impish
-12.477849|130.983325|1 Cambridge Cl Durack|ad4fe67a-8c04-442b-b8c2-2abbeba27990|powdering-smog
-12.47047|130.98303|GATEWAY SHOPPING CENTRE 1 ROYSTONEA AVE YARRAWONGA NT 0830 AU|ada11a29-b42f-4034-b93a-3c50b7de51d8|jugular-scrambled
-32.34511|138.0419|21 Railway TerraceQuorn SA 5433AU|592d2809-599c-4886-947f-34570ee3fe78|hardening-cresting
-12.46695|130.84289|Light Pole S11532 - Corner Of Mitchell Street & Knuckey Street West CornerDarwin NT 0800|4c03fc1b-5571-4488-af6b-4e9feeb46854|gaming-nastiness
-12.46648|130.84522|Light Pole Number S29680 Corner of Smith Street & Esplanade West CornerDarwin NT 0800|575142b4-6897-4c66-9809-f275b366a595|dad-whiff
-12.46541|130.84514|Civic Park Light Pole Near The Corner Of Smith Street & Church Lane4 Smith StDarwin NT 0800|46ba3eaf-eb90-476e-a162-dea344adbc0e|moustache-stitch
-12.46577|130.84159|Light Pole Number S17873 Where Herbert Street Meets EsplanadeDarwin NT 0800|0c32b21b-8020-40ab-b7a4-370753ae4ab8|fried-pucker
-12.46523|130.84329|Light Pole Number S11560 Out front Of Tourism Top End 6 Bennett StreetDarwin NT 0800|bb12b0f8-0545-47d9-b3c0-6e451cb66a4e|exemption-penknife
-12.46488|130.844|Light Pole Number S11554 Out Front Of KPMG 18 Smith Street Darwin NT 0800|263bcb0b-909b-4326-a04f-fcdaad656b46|duvet-hybrid
-12.46495|130.84222|Light Pole Number S11542 Out Front Of Karen Brown Fine Art 24 Mitchell StreetDarwin NT 0800|2ede965f-bb7c-461b-80cd-a3ee57fffe9a|portside-gothic
-12.4649|130.83971|Light Pole Number S17849 Corner of Esplanade & Daly Street Darwin NT 0800|1bc674b0-fd50-45b5-bb5e-eee4aff1e524|overcome-santa
-12.4646|130.84155|Light Pole No Number Opposite Double Tree Hilton Hotel Western BoundaryDarwin NT 0800|5e933486-5a4a-40eb-83b2-9e036dabf2f4|handling-credit
-12.46456|130.84099|49 Mitchell St Darwin |cd119ad6-8595-4123-957b-78623379230c|safeness-prudishly
-12.46425|130.84392|Light Pole Number S11558 Corner Of Bennett Street & Yuen LaneDrawin NT 0800|0ef142f1-c1e6-46b8-9d60-cad01576f6bd|refund-subarctic
-12.46415|130.84276|19 The Mall Darwin |ecd3bd0b-b1f2-46d5-b836-232b672507b9|affiliate-encircle
-12.46344|130.84564|Light Pole No Number has sign On It (Anzac Centenary Walk) Near The CenotaphDarwin NT 0800|02197564-c7a6-449f-be58-723fdc54ba6d|ladle-propeller
-12.46348|130.84396|9 Cavenagh St Bella |26f13551-e8a8-4810-b07a-35bb9aa17b5e|sprig-bounce
-12.46338|130.84353|On Council Street Archway Out Front Of 17 Cavenagh StreetDarwin NT 0800|2389b402-03d8-4d43-b2e1-33ec4ec22f6b|dubiously-unrobed
-12.4638|130.83886|Light Pole Number S11506 Opposite Eastern End of 84 EsplanadeDarwin NT 0800|c581b91a-1996-4c30-bf01-55543c84cbc3|virtuous-serotonin
-12.46349|130.84132|Light Pole No Number - Out Front Of Subway Shop 4/14 Knuckey Street Darwin NT 0800|b8370d52-5908-4f52-9b28-685fbdc8cd96|unify-bribe
-12.46325|130.84186|43 The Mall Darwin |0bf5054d-13cb-4908-8c93-d36d1a390a9d|simply-observer
-12.46324|130.84128|793 - Darwin Central - 21 KNUCKEY ST DARWIN CITY AU NT 800|92a44679-b7f6-406a-84ad-8415fd3ad83c|sake-triangle
-12.462888|130.841392|Telstra Air Hotspot|e6e1a615-7d11-48a2-8599-c16963356930|bacon-sublime
-32.4905281|137.761195|OS WOOLWORTHS PORT AUGUSTA|f58966a6-4553-48e3-a067-90a0520fd231|agent-snowy
-12.46252|130.84211|Light Pole Number S11502 Where Knuckey Street Meets EsplanadeDarwin NT 0800|94fcbbb6-5a88-486d-8ee8-eacab2670eb7|feminism-worrisome
-12.46252|130.84199|Light Pole Number S11580 - Corner of Knuckey Street & Austin Lane South Corner|a9294b35-dadd-4f35-b696-3fb3633fb7eb|rectal-untrimmed
-12.4627|130.83946|Light Pole No Number - Out Front Of The Tap 58 Mitchell Street Right Hand EndDarwin NT 0800|173343fa-61ba-4ee8-8624-5cbd800b26a1|caucasian-embody
-12.46276|130.83776|Light Pole Number S11510 Opposite NovotelDarwin NT 0800|6eeee357-2188-40aa-99ba-9c9ea445118a|krypton-display
-12.46228|130.84033|Light Pole Number S11603 Outside Central Furnishings 63 Smith StreetDarwin NT 0800|06e4cf95-7b90-4b10-ba8e-a7dce62d2029|unflawed-custodian
-12.46198|130.84264|Light Pole Number S7287 - Corner of Knuckey Street & Cavenagh Street West CornerDarwin NT 0800|8b86f043-575f-49e6-8b1a-47c4a6cc5164|thirstily-neurosis
-12.46221|130.83887|Light Pole Number S11536 Corner Of Mitchell Street & Peel Street East CornerDarwin NT 0800|e94e923d-3769-4f83-aa64-6824fd9631c7|defective-womanhood
-32.49121|137.76195|32 COMMERCIAL RD, PORT AUGUSTA, SA 5700|e4becb12-eaf8-4593-b429-1c65003a8752|mummy-crumpet
-12.46161|130.84179|Light Pole Number S7289 Out Front Of 37 Cavenagh Street Darwin NT 0800|da349bb9-0d87-431e-a6d2-b77bc541de80|theater-punch
-12.461797|130.8399|67 Smith St Darwin |e3f437bf-912a-4a18-b865-89c96accf21a|explore-placate
-12.4619|130.83844|79 Mitchell St Darwin|6c5b4405-e51a-48ac-bee0-b7c41e4d615a|economy-unsalted
-12.46163|130.83697|Light Pole Number S7632 Opposite 110 EsplanadeDarwin NT 0800|b51c63a4-34bc-4a38-9b2c-fa47b78e5c9a|cardinal-grimacing
-32.4917|137.762323|49 COMMERCIAL OS POST OFFICE PORT AUGUSTA|8ff33860-adae-4f38-abcf-fc1dd301e418|barley-scoop
-12.46104|130.84197|Light Pole Number S7363 Near Darwin Post OfficeDarwin NT 0800|22744805-dfd1-45f8-80e1-a6f9ea2c8059|undertone-crushing
-12.4613|130.83938|Light Pole Number S7627 Out Front Of NAB 71 Smith StreetDarwin NT 0800|7c6759c1-786e-4d96-8e61-8f8af31ab2e8|desolate-zoologist
-12.46068|130.83784|Light Pole Number S7352 Near 80 Mitchell Street Darwin NT 0800|0b39a0f2-6f33-446b-bd50-d4e04a4fe01c|coziness-sulphate
-12.46034|130.83889|Light Pole Number S7332 Corner of Smith Street & Lindsay Street North CornerDarwin NT 0800|22b6a2aa-8151-45fd-ac66-509bc3bc26b0|alabaster-epidural
-12.460479|130.837164|8 Mclachlan St Darwin City |488908e8-7a6c-45f5-8202-fc6198dc7708|lazily-clamp
-12.45982|130.83648|88 Mitchell St Darwin |5f5dd8e7-d7c3-43ab-adf0-616e9a3d7e0e|excusably-broker
-12.45942|130.83793|Light Pole Number S7342 Corner Of Smith Street & McLachlan Street South CornerDarwin NT 0800|4a511988-84a6-4f9e-89e5-b211698bfa8f|silica-oil
-12.45899|130.83694|Light Pole Number S11608 Out Front Of Marrakai 93 Smith StDarwin NT 0800|b7b87bbe-d00f-40a4-8e44-f0b93ac0078b|salary-tricolor
-12.45859|130.83514|Light Pole Number S7655 Corner of Mitchell Street & Daly Street  East CornerDarwin NT 0800|d761e154-6557-4ad6-b1c5-09702746482c|heading-reunion
-12.456881|130.846762|5 Francis Bay Dr Darwin City |02f17954-ae13-4385-ad02-3593a257cb7d|tingling-nuclear
-12.457784|130.834408|112 Mitchell St Darwin City |b0b08ef7-53da-42db-a925-78496b6599e0|defective-maker
-12.45703|130.83669|Light Pole No Number Centre of Park 70m from Daly streetDarwin NT 0800|9e91b646-4081-49d7-9f12-c7c6ad3fb06e|recycler-untying
-12.456961|130.835485|130 Smith St Darwin City |891b37e0-d863-40ce-9897-8f113024fe19|cautious-emotion
-12.453429|130.82995|148 Mitchell St Larrakeyah |3f897a26-8c03-477a-b92d-9d24e076feef|kissing-disown
-12.44958|130.84066|29 Stuart Hwy Stuart Park |c2b20851-e60e-4498-b92c-c80f2f63fee6|unease-passivism
-12.449298|130.840873|33 Stuart Hwy Stuart Park |b9df8f0f-d2b1-4436-968d-1425a58a1d55|cartel-gully
-32.49936|137.77826|63 Victoria Pde Port Augusta |28cf02f6-631c-44cf-9a54-af8ac253c270|viewing-distaste
-12.44529|130.84239|10 Westralia St Stuart Park |2e98c1c2-cccb-49c6-b517-6e17d2c442fe|hydrated-revision
-12.434201|130.923227|0 BERRIMAH RD O/S QUEST APARTMEN, BERRIMAH|d8404e57-aba6-4d6a-b24c-a78cb0f0a89c|tipped-obsolete
-12.435302|130.843441|3 Parap Rd Parap |a54e3fa6-8028-477a-bc26-9ebf27af3539|bloomers-wreath
-12.431238|130.843449|38 Parap Rd Parap |e97bde0d-be84-4bb5-92c4-65debbed5f07|naming-resurface
-12.423793|130.836791|10 Fannie Bay Pl Fannie Bay |af25f71c-0418-4f77-92f7-e3f2c1ae7ae3|thirsting-rabid
-12.40992|130.85567|2 Fitzer Dr Ludmilla |ae59901a-7ad7-41c3-b653-a7b0aa71233a|faucet-pledge
-12.396224|130.904054|16 Malak Pl Malak |cca21385-a871-4a4b-89d6-8d76a4c1d1cc|elk-unvocal
-12.392016994882594|130.89076538965466|51 Yanyula Dr Anula |f4b36557-e8b6-4f69-81ff-31230907e6ce|cement-halt
-12.389415|130.875711|12 Jingili Tce Jingili |baf757a3-e24f-48d2-8bed-05936bc43bd2|paparazzi-discover
-12.384279|130.89426|LOT 1835 7 WULAGI PL WULAGI SHOP CNTR, WULAGI|2a8bf491-d7a3-4e02-b8a3-bc8c02e13599|eastward-cupped
-12.387731|130.850957|36 PROGRESS NR PAVONIA WAY|2a4dbe63-8b73-4aa4-9252-ffe92458602e|detest-absurd
-12.38642|130.86224|48 TROWER O/S RAPID CREEK SH MILLNER|0f2ff62a-9d69-4ea6-9813-405123cc0c7b|cresting-fragile
-12.380542|130.886878|1 Wagaman Pl Wagaman |fa80a28d-cd85-405b-a29a-9084cc45f6fb|amniotic-erratic
-33.12469|136.41167|S 220 Tola Rd, Kimba, SA, 5641, AU|188309bb-f328-43ab-b9b4-dd7b887bf2dd|linseed-pushup
-12.379315|130.849168|62 Aralia St Nightcliff |74ea7758-a658-43ed-b7f7-958ba82ca5f4|steering-brought
-12.375539|130.879835|247 Trower Rd Casuarina |b4020212-70f0-4c0c-84db-693ff07ec430|earthworm-ought
-12.377882|130.84797|254 CASUARINA NIGHTCLIFF|03546961-70a1-496e-931f-3c662c418734|partly-truce
-12.37443|130.88172|CASUARINA SQUARE,247 TROWER RD CASUARINA NT AU 0810|6e7df243-5bc5-46fe-af95-9d4f78d0d250|hundredth-dealer
-12.37571|130.85525|315 Casuarina DriveRapid Creek NT 0810|900397b3-9d7c-4ec4-ba03-bfcc848be614|gnarly-attention
-12.37083|130.88283|58 BRADSHAW TERRACE CASUARINA NT 0810|c7ca1b93-d899-400b-9e75-d82519f933c5|sanded-zombie
-12.368949|130.888961|1 WANGURI PL WANGURI SHOP CNTR, WANGURI|6cc07809-1e2d-4225-a055-3fea1bd665ed|cover-junkman
-12.362557|130.877329|5 TIWI TIWI SHOP CENTRE TIWI|f2cb2d4e-5dc8-4dd5-a483-5155f1014390|proactive-endless
-33.020578|137.526617|33 MCRITCHIE SHOPPING CENTRE WHYALLA STUART|71a9c72a-44c3-4fce-9d2e-02ba48c042b4|veteran-division
-33.027809|137.532151|8 Forsyth St Whyalla |e3d542bc-c574-464f-94bc-53be72b75747|emerald-penalty
-33.027222|137.534702|175 Nicolson Ave Whyalla Norrie |e9a23422-03b1-4310-be6b-145218edde67|pried-unbeaten
-33.030018|137.567521|47 PLAYFORD NR ELLIOTT ST WHYALLA|77ab5e85-52fc-4e30-a6ee-e73592eb4775|bonded-frisbee
-33.034263|137.584711|8 Forsyth St, Whyalla |f9863ce8-f093-4b08-bcda-3f2408fe5242|numbly-daintily
-33.03461|137.58461|7 FORSYTH ST, WHYALLA  , SA 5600|3b1f09a7-7f12-4e65-a0aa-0685e7861637|gladly-coastline
-33.04152|137.58176|Beach Road, Whyalla, SA, 5600, Au|06c171cf-af11-4b60-aeb4-f8ddfa8039a4|fall-magnetize
-23.444292|144.247472|136 EAGLE  LONGREACH|9c11a4f9-c883-4ed4-8064-03fd2524e6d4|contented-issue
-23.443352|144.248379|122 Eagle St Longreach |e8ffc361-088e-4b20-80a5-a99faba8ca62|water-handled
-33.177029|138.010572|1 Alexander St Port Pirie |c79b89ae-3912-427c-986b-38125c413c5b|unseeing-plausible
-33.17826|138.01022|142 ELLEN ST, PORT PIRIE , SA 5540|435df467-f3f8-4a52-8a4a-f6862eda3eaa|skincare-outlook
-33.179239|138.008897|22 Norman St Port Pirie |b022e878-7b56-40d5-b216-6ecbdcd94f4a|savor-twenty
-33.18099|138.0121|2 Main Rd Port Pirie |f63b8e5f-34eb-4b56-b2ee-593d7826ead9|overview-surfacing
-34.1174|136.34802|1 PEAKE TCE, PORT NEILL, SA, 5604, AU|a36b0195-6b34-42fa-9dea-7beff0b935a5|amicably-sports
-33.59992|137.93016|1 Bay StPort Broughton SA 5522AUGeoff Smith Real Estate1 Bay StPort Broughton SA 5522AU|f6ea1850-ea1e-4e2a-ab2e-822a32c3439c|limeade-quantum
-33.901849|137.631159|1 Bayview Pde North Beach |41d45ff7-6fa4-4016-a907-1af8ee00d444|crabbing-phrase
-33.92775|137.62124|4 CHATFIELD TCE, WALLAROO, SA, 5556, AU|7129aea8-92f9-48aa-8e54-fc8631632278|proponent-entangled
-34.62176|135.46842|136 Esplanade,Coffin Bay, SA, 5607, AU|642b4877-a1a0-47e6-babf-ed1c189d7e08|length-sharper
-33.96393|137.71397|34 GRAVES ST, KADINA , SA 5554|657ec7bc-d4a6-48d2-9eaf-abe8d6d2a476|hush-brush
-33.96464|137.71633|2 FORSTER ST KADINA SA 5554 AU|9e45b49e-5bbf-432b-ad2b-c539fa944e73|treadmill-astride
-34.054578|137.562045|0 Bay Rd Moonta Bay |cd55a4e7-9105-452c-bb85-9420bbd4f07a|designed-yard
-33.9273937|138.161419|Princes Hwy Lochiel |8ad6fee2-3bae-4220-94c4-17b300c58717|cover-float
-34.712614|135.851773|9 NORMANDY PORT LINCOLN|fa103676-44e4-4081-a684-473cb0fef416|glorious-authentic
-34.718982|135.855318|18 LEWIS PORT LINCOLN|229e71e3-1b4a-4d9e-971e-b344bfb01755|desecrate-acre
-34.72037|135.857823|67 TASMAN POST OFFICE PORT LINCOLN|8d922723-0726-40eb-bd86-53bc97f6fc6a|create-urologist
-34.720234|135.858413|66 Tasman Tce Port Lincoln |e5b2d432-bd62-42aa-8bb4-4bc22f36d2de|childhood-equation
-34.72277|135.85884|36 LIVERPOOL ST, PORT LINCOLN , SA 5606|79db556c-2d43-49b8-95f6-3140410a7e68|lent-draw
-34.72432|135.863|859 - Port Lincoln - 82 LIVERPOOL ST PORT LINCOLN AU SA 5606|b3cb72d3-7783-4564-ba5a-0196a3cfdb46|enamel-upstream
-34.723652|135.865295|0 PORTER OPP WASHINGTON ST PORT LINCOLN|8b953d3f-8bc3-4dbc-82bc-a9e832d0aaaa|probation-underpaid
-31.96119|141.43842|142-150 Rakow St Broken Hill |6e27274e-76cf-4dfd-8b06-dbda89abbeea|boots-geologist
-31.96248|141.44987|7 GALENA ST BROKEN HILL NSW 2880 AU|a886e7b2-8aa9-4320-9ac4-84bdec0cf309|array-rifling
-31.95746|141.46546|24 Chloride St  Broken Hill NSW 2880Au|e595e227-1316-4138-8dc7-89fe4566c471|tipper-concise
-31.9572778|141.4661111|Telstra Air Hotspot|aa9c120a-aa7d-4342-a668-8a701ddebb6f|flagship-many
-31.9595454|141.4633356|220 Argent St     Broken Hill NSW 2880Au|144d18db-ca6f-4cb0-b758-67d79f5463dd|reissue-juror
-31.9602765|141.4625958|183 Argent St     Broken Hill NSW 2880Au|fd585a64-172c-400e-b617-9b876e196588|luxury-duo
-31.956974|141.466846|370 Argent St Broken Hill |a8774bcb-6674-467c-924a-81fc3a888467|unstitch-canine
-31.9593406|141.4641296|231 Argent St    Broken Hill NSW 2880Au|c5ac4e58-f2f5-4291-84ef-ce5e990fce82|sneeze-overcome
-31.95874|141.46494|NR SULPHIDE ST BROKEN HILL|f263b49d-b618-46be-9049-920c2da31c2e|disjoin-gutter
-31.95897|141.46502|273 Argent St    Broken Hill NSW 2880Au|94813147-32ba-4117-85c8-0f040189989e|pancake-freight
-31.95757|141.46669|347 Argent St  Broken Hill NSW 2880Au|5f668e59-5dd5-4f2c-800d-6dc5b4c9c95d|nest-exhale
-31.95867|141.46577|313 Argent St   Broken Hill NSW 2880Au|942cedd6-0271-4585-bf22-203342e4ddfc|lustily-colt
-31.9572157|141.4675659|393 Argent St Broken Hill NSW 2880Au|fbb9fa21-0e6f-4d59-8c98-3dc4eeb785a4|crisped-kitchen
-30.75116|121.47987|119 BOULDER RD, KALGOORLIE WA 6430 AU|2081be7f-5a1a-410a-b23f-b0055ef3c847|punctual-essential
-30.752991|121.479053|13 Roberts St South Kalgoorlie |f0f596c5-3041-4da2-becd-69ed0064a932|library-dripping
-30.7484722|121.4727778|42 Cassidy St Kalgoorlie |3f98ef22-df72-4e80-9a5d-e737341e7f41|ideally-deface
-30.747637|121.47202|ST BARBARAS SQUARE KALGOORLIE|6f4abeb7-8cce-4cdb-aacd-057f436aeb98|triumph-outdated
-30.7493|121.47003|NR WILSON ST KALGOORLIE|8a9bf127-5074-42b8-a2a6-c7463269d569|deviancy-aftermost
-30.74937|121.46779|122 BROOKMAN ST, KALGOORLIE WA 6430 AU|37508f1a-55b7-478d-a7fe-f6fcece7eb21|obstinate-suspend
-31.97913|141.46157|166 Patton StBroken Hill NSW 2880Au|8ce1a015-7a1f-4835-9080-6fb7ead2cfa2|travel-conch
-31.9797987|141.4610142|140 Patton StBroken Hill NSW 2880Au|08fd5198-9b58-4c41-af0b-e89ad5c607fa|dictate-monthly
-31.97955|141.46231|151 Patton St   Broken Hill NSW 2880Au|ec1a0cc3-e3b5-4e63-9201-6c676ce492f8|repeater-landowner
-31.97945|141.46244|153 Patton StBroken Hill NSW 2880Au|50bed6c4-898d-4e9f-8c0b-fc9c7790a3c4|pungent-squatter
-30.753986|121.465128|464 HANNAN NR NETHERCOTT ST KALGOORLIE|66d8dd63-a834-45ce-87eb-8e82ac403764|foe-duplicate
-30.781993|121.488483|68 Burt St Boulder |c213c6f3-a4fb-4cc0-b2d5-c56a420f8e55|spleen-juice
-33.834121|138.612741|229 MAIN NORTH ADJ TOWN HALL WALL CLARE|d468da2a-b945-42d1-b053-d784558197f2|prozac-underuse
-31.9994687|141.4683294|Broken Hill AirportBonanza St    Broken Hill NSW 2880Au|056a60d9-6b63-4991-886b-fad8fb17f81a|bronzing-thinness
-31.99885|141.47027|Broken Hill Airport Bonanza St Broken Hill NSW 2880 Au|4072b7c4-38aa-4c1b-91b9-2d753dd9eec6|array-deafness
-33.682235|138.938951|6 Commercial St Burra |2270d4b6-c4f8-45db-a3b3-68d7fb04d730|trodden-recreate
